N,Wide_Area,Narrow_Area,Wide_Error_%,Narrow_Error_%
37100,0.949677107841468,0.944845013477089,0.546302599787057,0.03470848201805926
37600,0.949976795177353,0.945146276595745,0.5780317562660513,0.06660447323489214
38100,0.952310010080274,0.945111548556431,0.8250590139754093,0.06292766990801943
38600,0.954834647808378,0.945693005181347,1.0923530098702272,0.12448892401715696
39100,0.954559589034358,0.945748081841432,1.063231382638207,0.1303201212581605
39600,0.953554950737837,0.94564393939394,0.9568661082399165,0.1192941231030457
40100,0.952332918484747,0.945854114713217,0.8274844229372512,0.1415462665700678
40600,0.953056677362028,0.945751231527094,0.9041118139562732,0.13065359170305796
41100,0.950214601733171,0.946076642335767,0.6032093347546302,0.16510620024540124
41600,0.949544191951041,0.945823317307692,0.5322302364239287,0.13828561594509256
42100,0.948196917606372,0.945991686460808,0.38958864506040475,0.15611156507863674
42600,0.947109488573903,0.945833333333334,0.2744579678527161,0.13934605463181182
43100,0.946498433113184,0.945649651972158,0.20976296072724737,0.11989893774308635
43600,0.947016316534019,0.945699541284404,0.26459345281000807,0.12518092868944722
44100,0.947301999969007,0.945861678004535,0.2948399575060523,0.1423470239761716
44600,0.947581277945811,0.94588004484305,0.32440828945102296,0.14429159828240626
45100,0.948285500355724,0.946258314855876,0.3989672726464783,0.18434063269629572
45600,0.948547869820025,0.945860745614035,0.4267454293828401,0.14224830787931814
46100,0.948804547972736,0.945661605206074,0.4539210230663447,0.12116447680309018
46600,0.949472977064444,0.94543991416309,0.5246904173862067,0.09769311531877191
47100,0.949095140575118,0.945037154989385,0.4846872819253971,0.055051310625564814
47600,0.949950721149224,0.945194327731093,0.5752711894369563,0.07169184867552479
48100,0.950788514185406,0.945218295218295,0.663971855628033,0.07422938717242258
48600,0.952409244480514,0.945318930041152,0.83556537656165,0.08488401838075821
49100,0.952214904431629,0.945341140529532,0.8149897796549727,0.0872355360356619
49600,0.953004536556612,0.945236895161291,0.8985914479751724,0.07619864122873697
50100,0.952420025292174,0.945134730538922,0.8367067863550234,0.06538204372325028
50600,0.951654928559544,0.944664031620553,0.7557027830343933,0.015547173019358065
51100,0.952426860875301,0.9448385518591,0.8374304982396911,0.034024363392641865
51600,0.952430179312459,0.944476744186047,0.8377818351139684,0.00428173399281757
52100,0.950567381089594,0.944673704414588,0.6405595663533419,0.016571272334793347
52600,0.951882132476195,0.94467680608365,0.7797578155994833,0.016899659060661085
53100,0.952989032877077,0.944538606403013,0.8969500083310443,0.0022678786441523925
53600,0.951717301415724,0.944496268656717,0.7623064591888447,0.0022145963100444594
54100,0.951727024356336,0.944108133086876,0.7633358677329379,0.04330813866537412
54600,0.949421774946113,0.943956043956044,0.5192694341478525,0.05941045348849126
55100,0.951569495559215,0.944147005444646,0.7466576326015105,0.03919255894376373
55600,0.951230568258952,0.944581834532374,0.7107739763459381,0.0068446221916831345
56100,0.949857881806643,0.944830659536542,0.5654418984545414,0.033188770067727476
56600,0.95005537044351,0.945008833922262,0.5863508495901318,0.05205284034404664
57100,0.949057544889101,0.945074430823118,0.48070686880234526,0.05899785964441962
57600,0.949764913520532,0.9451171875,0.5555989556792434,0.06352468853861273
